id,title,release_at,news_type.name,keyword_dpp,keyword_han,keyword_kmt,keyword_tsai,url
byWj4ZMMxY,不挺韓了？胡幼偉：我也有點迷惘,2019-09-27 13:33:33,政治要聞,0,1,0,0,https://ctinews.com/news/items/byWj4ZMMxY
9pWzmoMpnv,韓當選要吃安眠藥 柯挨批沒尊重過人,2019-09-27 13:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/9pWzmoMpnv
kRxAyrdyxD,被視為救韓唯一「特效藥」？ 朱立倫：別這樣講,2019-09-27 13:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/kRxAyrdyxD
vNWOvzQAnw,韓國瑜批大港下流？他爆綠媒陰謀,2019-09-27 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/vNWOvzQAnw
9pWzmoXpnv,韓國瑜質詢後一個動作 為何最美主持人大讚？,2019-09-27 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/9pWzmoXpnv
8knJgAwYWo,找回年輕選票 學者：韓國瑜要先做這件事,2019-09-27 08:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/8knJgAwYWo
q9WPYomlam,綠營在議會修理韓國瑜 為何踢鐵板？,2019-09-27 06:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/q9WPYomlam
14a1jXpYxk,韓國瑜民調低 農會大老走訪民間給答案,2019-09-27 02:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/14a1jXpYxk
gzae5dj2am,民調落後韓國瑜要如何贏？ 黃暐瀚：這4項是關鍵,2019-09-27 00:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/gzae5dj2am
zMW5dNBlnN,陳致中質疑蓋國際機場 韓國瑜一招完勝,2019-09-26 20:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/zMW5dNBlnN
zMW5dN5wnN,韓國瑜批大港粗俗不堪 呱吉回應了,2019-09-26 18:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/zMW5dN5wnN
kRxAyr3MxD,台教會：昔日韓國瑜論文挺小英,2019-09-26 18:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/kRxAyr3MxD
qXWQz4Y0aR,韓副手找誰最加分 張善政這樣看,2019-09-26 17:30:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/qXWQz4Y0aR
gOnLLwk2nk,韓國瑜提甚麼政見才能重返榮耀？網：一定要有這四字,2019-09-26 16:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/gOnLLwk2nk
pRnYkMAMaY,呱吉大港開唱爆粗口 韓國瑜：下流不堪,2019-09-26 16:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/pRnYkMAMaY
